city,state,lat,lon,t95_c,t05_c,source,period,method
Miami,FL,25.7743,-80.1937,28.78,17.99,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Tampa,FL,27.9475,-82.4584,28.91,12.35,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Orlando,FL,28.5383,-81.3792,29.02,12.09,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Jacksonville,FL,30.3322,-81.6557,28.94,9.0,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Savannah,GA,32.0835,-81.0998,28.49,8.12,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Charleston,SC,32.7766,-79.9309,28.64,6.79,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
New York,NY,40.7143,-74.006,26.44,-2.94,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Philadelphia,PA,39.9523,-75.1638,27.21,-2.41,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Washington,DC,38.8951,-77.0364,27.89,-1.37,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Baltimore,MD,39.2904,-76.6122,26.89,-1.13,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Chicago,IL,41.85,-87.6501,25.64,-7.41,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
St. Louis,MO,38.6273,-90.1979,27.95,-3.9,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Kansas City,MO,39.0997,-94.5786,27.97,-5.15,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Indianapolis,IN,39.7684,-86.158,26.2,-5.65,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Columbus,OH,39.9612,-82.9988,25.71,-5.69,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Detroit,MI,42.3314,-83.0458,25.43,-7.13,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Minneapolis,MN,44.98,-93.2638,24.62,-14.07,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Fargo,ND,46.8772,-96.7898,23.67,-18.23,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Bismarck,ND,46.8083,-100.7837,23.69,-16.65,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Great Falls,MT,47.5002,-111.3008,23.51,-11.09,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Denver,CO,39.7392,-104.9847,23.6,-6.44,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Buffalo,NY,42.8864,-78.8784,23.84,-7.21,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Boston,MA,42.3584,-71.0598,24.17,-4.39,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Portland,ME,43.6615,-70.2553,20.8,-6.86,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Anchorage,AK,61.2181,-149.9003,15.2,-12.94,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Seattle,WA,47.6062,-122.3321,20.53,3.25,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Portland,OR,45.5235,-122.6762,22.42,2.65,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
San Francisco,CA,37.775,-122.4194,17.77,9.15,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Los Angeles,CA,34.0522,-118.2437,26.39,10.89,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
San Diego,CA,32.7153,-117.1573,22.48,12.35,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Montgomery,AL,32.3668,-86.3,29.16,5.13,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Juneau,AK,58.3019,-134.4197,14.01,-11.36,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Hartford,CT,41.7637,-72.6851,25.34,-5.6,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Dover,DE,39.1582,-75.5244,27.34,-1.07,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Tallahassee,FL,30.4383,-84.2807,28.73,7.64,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Atlanta,GA,33.749,-84.388,27.89,3.05,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Honolulu,HI,21.3069,-157.8583,26.09,21.74,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Springfield,IL,39.8017,-89.6437,26.93,-5.81,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Des Moines,IA,41.6005,-93.6091,26.2,-9.95,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Topeka,KS,39.0483,-95.678,28.3,-5.17,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Frankfort,KY,38.2009,-84.8733,26.83,-2.63,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Augusta,ME,44.3106,-69.7795,23.14,-10.62,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Annapolis,MD,38.9784,-76.4922,27.21,-0.5,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Lansing,MI,42.7325,-84.5555,24.7,-8.44,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Saint Paul,MN,44.9444,-93.0933,24.57,-14.04,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Jefferson City,MO,38.5767,-92.1735,28.16,-3.63,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Helena,MT,46.5927,-112.0361,20.2,-11.85,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Lincoln,NE,40.8,-96.667,27.7,-8.18,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Carson City,NV,39.1638,-119.7674,23.27,-3.04,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Concord,NH,43.2081,-71.5376,23.95,-9.08,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Trenton,NJ,40.2171,-74.7429,26.9,-2.56,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Santa Fe,NM,35.687,-105.9378,22.86,-4.25,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Albany,NY,42.6526,-73.7562,24.32,-7.66,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Raleigh,NC,35.7721,-78.6386,28.23,1.91,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Oklahoma City,OK,35.4676,-97.5164,30.19,-0.11,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Salem,OR,44.9429,-123.0351,23.28,3.04,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Harrisburg,PA,40.2737,-76.8844,26.49,-3.63,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Providence,RI,41.824,-71.4128,25.05,-4.55,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
